,Sep-21,Oct-21,Nov-21,Dec-21,Jan-22,Feb-22,Mar-22,Apr-22,May-22,Jun-22,Jul-22,Aug-22,,,
casual_rides,363890,257242,106929,69738,18520,21416,89882,126417,280415,369051,406055,358924,,,
member_rides,392257,373984,253049,177802,85250,94193,194160,244832,354443,400153,417433,427008,,,
total_rides,756147,631226,359978,247540,103770,115609,284042,371249,634858,769204,823488,785932,,,
casual_electric,133087,128769,67449,45004,10585,11948,46137,66758,127931,168415,218904,203966,,Electric,1228953
casual_classic,195466,105589,31866,19806,6974,8107,35387,47543,126075,169996,156095,128635,,Classic,1031539
casual_docked,35337,22884,7614,4928,961,1361,8358,12116,26409,30640,31055,26323,,Docked,207986
member_electric,125439,163434,130876,96973,37157,42886,95108,125663,156472,163489,200355,211593,,Electric,1549445
member_classic,266818,210550,122173,80829,48093,51307,99052,119169,197971,236664,217078,215415,,Casual,1865119
member_docked,0,0,0,0,0,0,0,0,0,0,0,0,,Docked,0
casual_avg_duration,0:25,0:23,0:19,0:18,0:18,0:20,0:24,0:23,0:26,0:23,0:23,0:22,,,
member_avg_duration,0:13,0:12,0:11,0:10,0:11,0:11,0:11,0:11,0:13,0:13,0:13,0:13,,,
